model;params;dataset;type;average;acc;prec;recall;f1
NB;"{""alpha"": 1.0, ""class_prior"": null, ""fit_prior"": true}";clean_tweeter_3;tfidf;binary;0.8833333333333333;1.0;0.4166666666666667;0.5882352941176471
NB;"{""alpha"": 1.0, ""class_prior"": null, ""fit_prior"": true}";clean_tweeter_3;bow;binary;0.9;0.6875;0.9166666666666666;0.7857142857142857
DT;"{""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""entropy"", ""max_depth"": null, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""random_state"": 1, ""splitter"": ""best""}";clean_tweeter_3;tfidf;binary;1.0;1.0;1.0;1.0
DT;"{""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""entropy"", ""max_depth"": null, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""random_state"": 1, ""splitter"": ""best""}";clean_tweeter_3;bow;binary;1.0;1.0;1.0;1.0
RF;"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""n_estimators"": 100, ""n_jobs"": null, ""oob_score"": false, ""random_state"": null, ""verbose"": 0, ""warm_start"": false}";clean_tweeter_3;tfidf;binary;1.0;1.0;1.0;1.0
RF;"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""n_estimators"": 100, ""n_jobs"": null, ""oob_score"": false, ""random_state"": null, ""verbose"": 0, ""warm_start"": false}";clean_tweeter_3;bow;binary;1.0;1.0;1.0;1.0
SVM;"{""C"": 1.0, ""break_ties"": false, ""cache_size"": 200, ""class_weight"": null, ""coef0"": 0.0, ""decision_function_shape"": ""ovr"", ""degree"": 3, ""gamma"": ""scale"", ""kernel"": ""linear"", ""max_iter"": -1, ""probability"": false, ""random_state"": null, ""shrinking"": true, ""tol"": 0.001, ""verbose"": false}";clean_tweeter_3;tfidf;binary;0.9666666666666667;1.0;0.8333333333333334;0.9090909090909091
SVM;"{""C"": 1.0, ""break_ties"": false, ""cache_size"": 200, ""class_weight"": null, ""coef0"": 0.0, ""decision_function_shape"": ""ovr"", ""degree"": 3, ""gamma"": ""scale"", ""kernel"": ""linear"", ""max_iter"": -1, ""probability"": false, ""random_state"": null, ""shrinking"": true, ""tol"": 0.001, ""verbose"": false}";clean_tweeter_3;bow;binary;1.0;1.0;1.0;1.0
KNN;"{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""metric_params"": null, ""n_jobs"": null, ""n_neighbors"": 5, ""p"": 2, ""weights"": ""uniform""}";clean_tweeter_3;tfidf;binary;0.9166666666666666;0.8181818181818182;0.75;0.7826086956521738
KNN;"{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""metric_params"": null, ""n_jobs"": null, ""n_neighbors"": 5, ""p"": 2, ""weights"": ""uniform""}";clean_tweeter_3;bow;binary;1.0;1.0;1.0;1.0
